date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2009:31:04%20GMT	https://gt/in/api	E:/Website1/samclone/gt/in/api.16.delayed	(from https://gt/in/)
15:01:04	301958/301958	---MCZ	200	added ('OK')	text/html	etag:W/%2248bc0-615403f8e8150%22	https://gt/in/info/privacy/	E:/Website1/samclone/gt/in/info/privacy/index.html	(from https://gt/in/)
15:01:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Apr%202024%2009:31:04%20GMT	http://images.samsung.com/is/image/samsung/assets/in/home/Bespoke_AI_Homepage_1440x640.jpg?imwidth=1366	E:/Website1/samclone/images.samsung.com/is/image/samsung/assets/in/home/Bespoke_AI_Homepage_1440x640.17aad7.delayed	(from https://gt/in/)
15:01:06	747443/747443	---MCZ	200	added ('OK')	text/html	etag:W/%22b57ed-615403f9660f0%22	https://gt/in/offer/online/samsung-fest/	E:/Website1/samclone/gt/in/offer/online/samsung-fest/index.html	(from https://gt/in/)
15:01:06	331720/331720	---MCZ	200	added ('OK')	text/html	etag:W/%2250003-61540435568a8%22	https://gt/in/offer/online/why-buy-from-samsung/	E:/Website1/samclone/gt/in/offer/online/why-buy-from-samsung/index.html	(from https://gt/in/)
15:01:06	356018/356018	---MCZ	200	added ('OK')	text/html	etag:W/%2255eed-615403f9f7cf8%22	https://gt/in/samsung-card/	E:/Website1/samclone/gt/in/samsung-card/index.html	(from https://gt/in/)
15:01:06	279211/279211	---M-Z	200	added ('OK')	text/html	etag:W/%22432e5-6154054d8da60%22	https://gt/in/offer/online/finance-plus/	E:/Website1/samclone/gt/in/offer/online/finance-plus/index.html	(from https://gt/in/)
15:01:06	208169/208169	---M--	200	added ('OK')	image/jpeg	etag:%22a3fb63c76843cd5569de26bdde028c56:1712065377.345212%22	https://images.samsung.com/is/image/samsung/assets/in/home/Bespoke_AI_Homepage_1440x640.jpg?imwidth=1366	E:/Website1/samclone/images.samsung.com/is/image/samsung/assets/in/home/Bespoke_AI_Homepage_1440x640aad7.jpg	(from https://gt/in/)
15:01:06	368780/368780	---MCZ	200	added ('OK')	text/html	etag:W/%22590c6-615403f456a60%22	https://gt/in/microsite/smart-club/	E:/Website1/samclone/gt/in/microsite/smart-club/index.html	(from https://gt/in/)
15:01:07	284569/284569	---M-Z	200	added ('OK')	text/html	etag:W/%22447d4-615403f510af0%22	https://gt/in/microsite/shop-referral/	E:/Website1/samclone/gt/in/microsite/shop-referral/index.html	(from https://gt/in/)
15:01:07	2451/2451	---MCZ	200	added ('OK')	text/css	etag:W/%224818473200224c9f9497adef8d7685bc%22	https://assets.calendly.com/assets/external/widget.css	E:/Website1/samclone/assets.calendly.com/assets/external/widget.css	(from https://gt/in/)
15:01:07	332532/332532	---MCZ	200	added ('OK')	text/html	etag:W/%225032e-61540611f7e00%22	https://gt/in/microsite/defence-purchase-program/	E:/Website1/samclone/gt/in/microsite/defence-purchase-program/index.html	(from https://gt/in/)
15:01:07	464183/464183	---MCZ	200	added ('OK')	text/html	etag:W/%2270572-615404291d640%22	https://gt/in/microsite/student-advantage/	E:/Website1/samclone/gt/in/microsite/student-advantage/index.html	(from https://gt/in/)
15:01:07	10997/10997	---MCZ	200	added ('OK')	application/javascript	etag:W/%223dda49c0223b617e2f088c195726b562%22	https://assets.calendly.com/assets/external/widget.js	E:/Website1/samclone/assets.calendly.com/assets/external/widget.js	(from https://gt/in/)
15:01:08	624210/624210	---MCZ	200	added ('OK')	text/html	etag:W/%229768c-61540417c1c98%22	https://gt/in/multistore/corporate/prelogin/	E:/Website1/samclone/gt/in/multistore/corporate/prelogin/index.html	(from https://gt/in/)
15:01:08	279124/279124	---M-Z	200	added ('OK')	text/javascript	etag:%2244254-615409ef01f78%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-dependencies.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-dependencies.min.js	(from https://gt/in/)
15:01:09	306349/306349	---M-Z	200	added ('OK')	text/html	etag:W/%2249ce7-61540401e2e90%22	https://gt/in/store/samsung-bkc/	E:/Website1/samclone/gt/in/store/samsung-bkc/index.html	(from https://gt/in/)
15:01:09	319047/319047	---MCZ	200	added ('OK')	text/html	etag:W/%224ce81-615403fa4eb98%22	https://gt/in/samsung-live/	E:/Website1/samclone/gt/in/samsung-live/index.html	(from https://gt/in/)
15:01:09	336694/336694	---MCZ	200	added ('OK')	text/html	etag:W/%2251370-61540401f43e8%22	https://gt/in/ai/	E:/Website1/samclone/gt/in/ai/index.html	(from https://gt/in/)
15:01:09	421147/421147	---MCZ	200	added ('OK')	text/html	etag:W/%2265d56-615403f84ec30%22	https://gt/in/mobile/	E:/Website1/samclone/gt/in/mobile/index.html	(from https://gt/in/)
15:01:10	570720/570720	---M-Z	200	added ('OK')	text/javascript	etag:%228b560-61540a0e93ff8%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.js	(from https://gt/in/)
15:01:10	395386/395386	---MCZ	200	added ('OK')	text/html	etag:W/%225f8b4-615403f5f9598%22	https://gt/in/smartphones/	E:/Website1/samclone/gt/in/smartphones/index.html	(from https://gt/in/)
15:01:10	345727/345727	---MCZ	200	added ('OK')	text/html	etag:W/%22536b9-6154040fec2c0%22	https://gt/in/tablets/	E:/Website1/samclone/gt/in/tablets/index.html	(from https://gt/in/)
15:01:10	350730/350730	---MCZ	200	added ('OK')	text/html	etag:W/%2254a44-6154040836c88%22	https://gt/in/galaxy-book/	E:/Website1/samclone/gt/in/galaxy-book/index.html	(from https://gt/in/)
15:01:10	60968/60968	---M-Z	200	added ('OK')	text/javascript	etag:%22ee28-61540a6829978%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-home/compact.min.js	E:/Website1/samclone/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-templates/page-home/compact.min.js	(from https://gt/in/)
